Id;Name;Height;Weight;Age;Position;Jersey;Salary;Birth date;Experience;College;Team
3917376;Jaylen Brown;"6' 6""";223 lbs;28;SG;7;$49,205,800;10/24/96;8;California;Boston Celtics
2528693;Torrey Craig;"6' 5""";221 lbs;34;SF;12;$2,845,342;12/19/90;7;South Carolina Upstate;Boston Celtics
4576085;Jd Davison;"6' 1""";195 lbs;22;SG;20;0;10.03.2002;2;Alabama;Boston Celtics
4065804;Sam Hauser;"6' 7""";217 lbs;27;SF;30;$2,092,344;12.08.1997;3;Virginia;Boston Celtics
3995;Jrue Holiday;"6' 4""";205 lbs;34;PG;4;$30,000,000;06.12.1990;15;UCLA;Boston Celtics
3213;Al Horford;"6' 9""";240 lbs;38;C;42;$9,500,000;06.03.1986;17;Florida;Boston Celtics
3064560;Luke Kornet;"7' 1""";250 lbs;29;C;40;$2,087,519;07/15/95;7;Vanderbilt;Boston Celtics
4397104;Miles Norris;"6' 7""";220 lbs;24;F;8;not specified;04/15/00;1;UC Santa Barbara;Boston Celtics
4397689;Drew Peterson;"6' 9""";205 lbs;25;F;13;0;11.09.1999;1;USC;Boston Celtics
3102531;Kristaps Porzingis;"7' 2""";240 lbs;29;C;8;$29,268,293;08.02.1995;9;not specified;Boston Celtics
4066354;Payton Pritchard;"6' 1""";195 lbs;27;PG;11;$6,696,429;01/28/98;4;Oregon;Boston Celtics
4397424;Neemias Queta;"7' 0""";248 lbs;25;C;88;$2,162,606;07/13/99;3;Utah State;Boston Celtics
4593841;Baylor Scheierman;"6' 6""";205 lbs;24;F;55;$2,494,320;09/26/00;0;Creighton;Boston Celtics
4065648;Jayson Tatum;"6' 8""";210 lbs;27;SF;0;$34,848,340;03.03.1998;7;Duke;Boston Celtics
4277964;Xavier Tillman;"6' 7""";245 lbs;26;F;26;$2,237,691;01.12.1999;4;Michigan State;Boston Celtics
4683689;Jordan Walsh;"6' 6""";205 lbs;21;G;27;$1,891,857;03.03.2004;1;Arkansas;Boston Celtics
3078576;Derrick White;"6' 4""";190 lbs;30;PG;9;$20,017,429;07.02.1994;7;Colorado;Boston Celtics
4432187;Reece Beekman;"6' 3""";190 lbs;23;G;4;0;10.08.2001;0;Virginia;Brooklyn Nets
4433254;Kendall Brown;"6' 7""";205 lbs;21;F;10;$2,120,693;05.11.2003;2;Baylor;Brooklyn Nets
4278067;Nic Claxton;"6' 11""";215 lbs;25;C;33;$27,556,817;04/17/99;5;Georgia;Brooklyn Nets
4712896;Noah Clowney;"6' 9""";210 lbs;20;F;21;$3,244,080;07/14/04;1;Alabama;Brooklyn Nets
4597865;Tosan Evbuomwan;"6' 7""";217 lbs;24;F;12;0;02/16/01;0;Princeton;Brooklyn Nets
4683024;Killian Hayes;"6' 5""";195 lbs;23;G;7;not specified;07/27/01;0;not specified;Brooklyn Nets
3138196;Cameron Johnson;"6' 8""";210 lbs;29;SF;2;$22,500,000;03.03.1996;5;North Carolina;Brooklyn Nets
4432192;Keon Johnson;"6' 5""";185 lbs;22;G;45;$2,162,606;03.10.2002;3;Tennessee;Brooklyn Nets
4684286;Maxwell Lewis;"6' 7""";195 lbs;22;F;27;$1,891,857;07/27/02;1;Pepperdine;Brooklyn Nets
4397179;Tyrese Martin;"6' 6""";215 lbs;25;G;13;0;03.07.1999;1;UConn;Brooklyn Nets
4066436;De'Anthony Melton;"6' 3""";200 lbs;26;SG;14;$12,822,000;05/28/98;6;USC;Brooklyn Nets
3136776;D'Angelo Russell;"6' 3""";193 lbs;29;G;1;$18,692,307;02/23/96;9;Ohio State;Brooklyn Nets
4432194;Day'Ron Sharpe;"6' 9""";265 lbs;23;C;20;$3,989,122;11.06.2001;3;North Carolina;Brooklyn Nets
4432174;Cam Thomas;"6' 3""";210 lbs;23;SG;24;$4,041,249;10/13/01;3;LSU;Brooklyn Nets
4431675;Trendon Watford;"6' 8""";237 lbs;24;PF;9;$2,726,603;11.09.2000;3;LSU;Brooklyn Nets
4432735;Dariq Whitehead;"6' 6""";220 lbs;20;F;0;$3,114,240;08.01.2004;1;Duke;Brooklyn Nets
4433137;Ziaire Williams;"6' 9""";185 lbs;23;F;8;$6,133,005;09.12.2001;3;Stanford;Brooklyn Nets
4431714;Jalen Wilson;"6' 6""";220 lbs;24;F;22;$1,891,857;11.04.2000;1;Kansas;Brooklyn Nets
4431679;Precious Achiuwa;"6' 8""";243 lbs;25;PF;5;$6,000,000;09/19/99;4;Memphis;New York Knicks
3934719;Og Anunoby;"6' 7""";240 lbs;27;SF;8;$36,637,931;07/17/97;7;Indiana;New York Knicks
3147657;Mikal Bridges;"6' 6""";209 lbs;28;SF;25;$23,300,000;08/30/96;6;Villanova;New York Knicks
3934672;Jalen Brunson;"6' 2""";190 lbs;28;PG;11;$24,960,001;08/31/96;6;Villanova;New York Knicks
5211983;Pacome Dadiet;"6' 8""";210 lbs;19;G;4;$1,808,080;07/27/05;0;not specified;New York Knicks
3062679;Josh Hart;"6' 4""";215 lbs;29;SG;3;$18,144,000;03.06.1995;7;Villanova;New York Knicks
4871141;Ariel Hukporti;"6' 11""";246 lbs;22;C;55;$1,064,558;04.12.2002;0;not specified;New York Knicks
4433225;Tyler Kolek;"6' 3""";195 lbs;23;G;13;$2,087,519;03/27/01;0;Marquette;New York Knicks
4431823;Miles Mcbride;"6' 1""";195 lbs;24;PG;2;$4,710,144;09.08.2000;3;West Virginia;New York Knicks
4411057;Kevin Mccullar Jr.;"6' 6""";210 lbs;23;F;9;0;03/15/01;0;Kansas;New York Knicks
3064230;Cameron Payne;"6' 3""";183 lbs;30;PG;1;$2,087,519;08.08.1994;9;Murray State;New York Knicks
4351852;Mitchell Robinson;"7' 0""";240 lbs;26;C;23;$14,318,182;04.01.1998;6;not specified;New York Knicks
3908336;Matt Ryan;"6' 6""";215 lbs;27;F;37;$1,919,558;04/17/97;2;Chattanooga;New York Knicks
3914044;Landry Shamet;"6' 4""";190 lbs;27;SG;44;$1,343,690;03/13/97;6;Wichita State;New York Knicks
4592461;Jacob Toppin;"6' 8""";200 lbs;24;F;0;0;05.08.2000;1;Kentucky;New York Knicks
3136195;Karl-Anthony Towns;"7' 0""";248 lbs;29;C;32;$49,205,800;11/15/95;9;Kentucky;New York Knicks
3064447;Delon Wright;"6' 5""";185 lbs;32;SG;0;$2,087,519;04/26/92;9;Utah;New York Knicks
5105637;Adem Bona;"6' 10""";235 lbs;21;C;30;$1,157,153;03/28/03;0;UCLA;Philadelphia 76Ers
4395695;Jared Butler;"6' 3""";193 lbs;24;SG;12;$2,196,970;08/25/00;3;Baylor;Philadelphia 76Ers
4701234;Ricky Council Iv;"6' 6""";207 lbs;23;G;14;$1,891,857;08.03.2001;1;Arkansas;Philadelphia 76Ers
4066786;Jeff Dowtin Jr.;"6' 3""";177 lbs;27;G;11;$2,196,970;05.10.1997;3;Rhode Island;Philadelphia 76Ers
6585;Andre Drummond;"6' 11""";279 lbs;31;C;1;$5,000,000;08.10.1993;12;UConn;Philadelphia 76Ers
4711297;Justin Edwards;"6' 7""";203 lbs;21;F;19;0;12/16/03;0;Kentucky;Philadelphia 76Ers
3059318;Joel Embiid;"7' 0""";280 lbs;30;C;21;$51,415,938;03/16/94;8;Kansas;Philadelphia 76Ers
4251;Paul George;"6' 8""";220 lbs;34;F;8;$49,205,800;05.02.1990;14;Fresno State;Philadelphia 76Ers
3431;Eric Gordon;"6' 3""";215 lbs;36;SG;23;$3,303,771;12/25/88;16;Indiana;Philadelphia 76Ers
4397014;Quentin Grimes;"6' 4""";210 lbs;24;SG;5;$4,296,615;05.08.2000;3;Houston;Philadelphia 76Ers
4433626;Jalen Hood-Schifino;"6' 5""";210 lbs;21;G;not specified;$3,879,840;06/19/03;1;Indiana;Philadelphia 76Ers
3012;Kyle Lowry;"6' 0""";196 lbs;38;PG;7;$2,087,519;03/25/86;18;Villanova;Philadelphia 76Ers
4431678;Tyrese Maxey;"6' 2""";200 lbs;24;PG;0;$35,147,000;11.04.2000;4;Kentucky;Philadelphia 76Ers
4683778;Jared Mccain;"6' 3""";195 lbs;21;G;20;$4,032,240;02/20/04;0;Duke;Philadelphia 76Ers
3133603;Kelly Oubre Jr.;"6' 8""";203 lbs;29;SG;9;$7,983,000;12.09.1995;9;Kansas;Philadelphia 76Ers
4277812;Alex Reese;"6' 9""";245 lbs;25;F;15;not specified;05/21/99;0;Alabama;Philadelphia 76Ers
4277890;Lonnie Walker Iv;"6' 4""";205 lbs;26;G;16;$2,087,519;12/14/98;6;Miami;Philadelphia 76Ers
4017844;Guerschon Yabusele;"6' 8""";265 lbs;29;F;28;$2,087,519;12/17/95;2;not specified;Philadelphia 76Ers
4397018;Ochai Agbaji;"6' 5""";215 lbs;24;G;30;$4,310,280;04/20/00;2;Kansas;Toronto Raptors
4433134;Scottie Barnes;"6' 7""";237 lbs;23;SF;4;$10,130,980;08.01.2001;3;Florida State;Toronto Raptors
4395625;Rj Barrett;"6' 6""";214 lbs;24;SG;9;$25,794,643;06/14/00;5;Duke;Toronto Raptors
4431893;Jamison Battle;"6' 7""";220 lbs;23;F;77;0;05.10.2001;0;Ohio State;Toronto Raptors
3948153;Chris Boucher;"6' 9""";200 lbs;32;PF;25;$10,810,000;01.11.1993;7;Oregon;Toronto Raptors
5211984;Ulrich Chomche;"6' 11""";235 lbs;19;C;22;0;12/30/05;0;not specified;Toronto Raptors
5106258;Gradey Dick;"6' 6""";200 lbs;21;G;1;$4,763,760;11/20/03;1;Kansas;Toronto Raptors
3913176;Brandon Ingram;"6' 8""";190 lbs;27;SF;3;$36,016,200;09.02.1997;8;Duke;Toronto Raptors
